Title,Location,Company,Salary/Pay
Web Developer,"Maitland, FL 32751•Temporarily Remote",Coolstuffinc.com,"From $45,000 a year"
Front End Developer,"San Francisco Bay Area, CA+1 location",Underdog.io,"$88,000 - $192,000 a year"
Entry Level Software Developer,"Winter Park, FL+126 locations",Revature,"$80,000 - $90,000 a year"
Software Developer,Remote,"Augusoft, Inc","$65,000 - $80,000 a year"
Software Developer,"Davis, CA 95618 (Downtown Core area)","Cedaron Medical, Inc.","$65,000 - $80,000 a year"
Junior Software Developer,"Orlando, FL+126 locations",Revature,"$50,000 - $60,000 a year"
Entry Level Computer Programmer,California+126 locations,Revature,"$55,000 a year"
Jr. Software Developer,"Seattle, WA 98121 (Belltown area)•Remote",Kepion,"$80,000 - $100,000 a year"
Software Developer,"Princeton, NJ•Temporarily Remote",BeaconFire Solution,"$60,000 - $80,000 a year"
Entry level software Developers,Remote,McCracken Financial Solutions,"$50,000 - $60,000 a year"
Junior Software Developer,"Morrisville, NC",Lenovo,"$30,701 - $75,705 a year"
Entry Level Software Developer,"Houston, TX",Proximate Technologies Inc.,"$45,000 - $46,000 a year"
Entry Level C++ Software Developer,United States,Smoothstack Inc,$31 - $36 an hour
Software Developer,Remote,CB Transportation Inc,"$36,000 a year"
Java Full Stack Developer,"Lake Mary, FL 32746",ResourcePoint Consulting,"Up to $143,256 a year"
Entry Level Computer Programmer,"Winter Park, FL+126 locations",Revature,"From $55,000 a year"
Entry Level Software Developer,"Winter Park, FL+126 locations",Revature,$15 an hour
Entry level software Developers,Remote,McCracken Financial Solutions,$15 an hour
Front End Developer (Entry level),"Deltona, FL+126 locations",Revature,"$75,000 - $175,000 a year"
"Software Engineer (Entry level, NCG)","Fremont, CA 94538 (Baylands area)",Yield Engineering Systems,$30 - $50 an hour
Java Developer - Entry Level,"Sanford, FL+126 locations",Revature,$15 an hour
Software Engineer Associate - Entry Level,"Orlando, FL 32825+28 locations",LOCKHEED MARTIN CORPORATION,"$65,000 - $90,000 a year"
Entry Level Programmer,"Atlanta, GA",Phasorsoft LLC,"$80,000 - $110,000 a year"
Entry Level Web Developer,"Orlando, FL 32817",Firstrade Securities Inc.,"$140,000 - $190,000 a year"
Software Engineer - Entry Level,Remote,Per Scholas Inc.,"From $3,000 a week"
Entry-Level Full Stack Developer,"Washington, DC","Antra, Inc","$75,218 - $172,667 a year"
Scripting Programmer (Entry Level),Remote,Answernet Remote,"$60,000 - $80,000 a year"
Entry Level Software Engineer,"Lakeland, FL 33801 (Downtown area)",Publix,$60 - $110 an hour
Entry Level Software Engineer,"Bellevue, WA 98005 (Eastgate area)",Heartdub,"$60,000 - $70,000 a year"
Entry Level Java Developer,Remote,Varasset,"Up to $40,000 a year"
Novel Writers,Remote,eGlobal Creative Publishing,$11.00 - $11.50 an hour
"Nike Celebration Retail Sale Associate Part-Time (""Athlete"")","Orlando, FL",Nike,"$160,000 a year"
Game Tester (Contract),"Cary, NC",Epic Games,From $50 a day
Apex Legends Game Streamer,Remote,NTP,"$70,000 - $75,000 a year"
Engagement - Game Development Community,Remote,ModSquad,$22 - $24 an hour
"Assistant Manager, Franchise Development","Kissimmee, FL","Disney Parks, Experiences and Products","From $45,000 a year"
Freelance Artist Assistants,Remote,WEBTOON Entertainment,"Up to $100,000 a year"
"Assistant, Production & Development","Santa Monica, CA 90404",Lionsgate,"$45,000 - $72,000 a year"
Proofreader,Remote,Clinical Trial Media,"From $70,000 a year"
Nike Orlando Service Center Full Time Athlete,"Orlando, FL",Nike,"$65,000 - $75,000 a year"
General Game Programmer,"Orlando, FL 32826","Mass Virtual, Inc.","$70,527 - $164,574 a year"
Game Programmer (C++/C#),"Orlando, FL 32826+16 locations•Temporarily Remote","GameSim Inc, a Keywords Studio","$70,000 - $90,000 a year"
Associate Development Manager,"Orlando, FL 32810",Electronic Arts,$49 - $69 an hour
Player Development Coordinator,"New York, NY 10022 (Midtown area)",the NBA,"$24,000 - $100,000 a year"
Development QA Tester,"Rockville, MD",Bethesda Game Studios,"$125,000 - $145,000 a year"
3D Software Developer (C++),"Los Angeles, CA 90038 (Hollywood area)•Temporarily Remote",Pixologic,"$90,000 - $105,000 a year"
Software Developer,"Salt Lake City, UT+1 location•Remote",CallCorp,$55 an hour
Game Developer,Remote,MyTab Games,$31 - $79 an hour
Game Test Analyst - Open World,"San Diego, CA",Sony Interactive Entertainment PlayStation,"$100,000 - $140,000 a year"
Game Developer,"Los Angeles, CA 90014•Remote",Brimhall & Associates,"$80,000 - $120,000 a year"
Associate Game Developer,"Plymouth, MI 48170",Stardock,"$85,000 - $100,000 a year"
CQC Game Tester (SC),"Irvine, CA",Bandai Namco Entertainment America,"$90,000 - $120,000 a year"
Development QA Tester,"Rockville, MD",Bethesda Game Studios,"$60,000 - $80,000 a year"
Junior QA Tester,"Ann Arbor, MI 48104•Remote",Gambyt,"From $60,000 a year"
Unity Programmer,Remote,Deck Nine Games,$31 - $79 an hour
CQC Game Tester,"Irvine, CA",Bandai Namco Entertainment America,"Up to $150,000 a year"
Associate Game Producer – Unannounced Project,"Irvine, CA 92618•Temporarily Remote",Blizzard Entertainment,$12.50 an hour
Online Publishing Game Tester (SC),California•Remote,Bandai Namco Entertainment America,$25 - $30 an hour
Video Game Creative Writer,"Frisco, TX 75036",Flawk,$15 - $20 an hour
Fullstack Developer,Remote,DeveloperTown,"$50,000 - $70,000 a year"
Customer Success Manager,Remote,Dover,From $55 an hour
Handymen & Handywomen Needed ASAP $3000 a week paid weekly.,"New Orleans, LA",Jason & Cayson Construction LLC,$35 - $45 an hour
C++ App Developer,"Seattle, WA 98121 (Belltown area)•Temporarily Remote",Cisco,"$45,000 - $60,000 a year"
App Developer,Remote,Live Scavenger,From $19 an hour
College Admissions Essay Specialist / Coach,Remote,College Essay Guy,"$65,000 - $75,000 a year"
Customer Support,Remote,Dover,$12.50 an hour
Engagement - Game Development Community,Remote,ModSquad,"$40,000 - $45,000 a year"
Development Associate,Remote,Yleana Leadership Foundation,$25 - $30 an hour
At Your Service - Seasonal Customer Service Associate,"Altamonte Springs, FL 32701",Macy's at Altamonte Mall,Up to $32 an hour
"Learning & Development Onboarding Specialist, Cash App","San Francisco, CA 94103 (South of Market area)•Remote",Cash App,$15 - $20 an hour
Senior People Operations Manager (Worldwide Remote),Remote,DuckDuckGo,"$50,000 - $70,000 a year"
Overnight Pet Sitter (In the client's home),"Orlando, FL 32814 (Colonial Town Center area)","Happy Tails Pet Care, Inc.",$35 - $45 an hour
Sales Representative,"Orlando, FL+30 locations•Remote",Jerry,"$45,000 - $60,000 a year"
Student Success Coach - CTU Online,Remote,Perdoceo Education Corporation,From $19 an hour
Learning and Development Specialist,+1 locationRemote,Egnyte,$15 - $38 an hour
Software Engineer/Mobile App Developer,"Norfolk, VA 23510 (Downtown area)",RecoveryTrek,"$42,466 - $85,193 a year"
iOS Mobile App Developer,Remote,Shmack,$15 - $20 an hour
Flutter Mobile App Developer,"Arlington, TX 76010 (East area)",Orderlivery LLC,"$45,000 - $46,000 a year"
Mobile App Developer,"Post Falls, ID 83854","Safeguard Equipment, Inc.","From $45,000 a year"
Android/iOS Mobile App Developer,Remote,Retail Zipline,"$90,000 - $120,000 a year"
Jr. iOS Developer,"Brentwood, TN 37027",Celero Commerce,"$79,000 - $87,000 a year"
Mobile App developer - Remote,"Seattle, WA 98104 (Downtown area)•Remote",Cystems Logic Inc,"$50,000 - $60,000 a year"
Android Developer,"Tempe, AZ 85281",HiredVirtual,"$65,000 - $80,000 a year"
Mobile app developer,"Seattle, WA 98101 (Downtown area)•Remote",Factal,"$90,000 - $120,000 a year"
Junior .NET Software Developer,"Louisville, KY•Remote",YSlingshot,"$120,000 - $135,000 a year"
Mobile App Developer,Remote,Vedoc App,$70 an hour
Quality Assurance Tester,"New York, NY•Remote",GameChanger,$15 - $20 an hour
Front End Developer,Remote,AppFire Technology,"$50,000 a year"
Mobile App Developer,"Portland, OR 97225 (West Slope area)•Remote",Conifer App Solutions,"$45,000 - $46,000 a year"
Influencer Marketing (Brands),Remote,Empire Collective Inc.,"$35,000 - $55,000 a year"
Data Scientist with biostatics focus,"West Sacramento, CA+7 locations",Envision,"$55,000 a year"
Data Scientist,Remote,VertexOne,"$90,000 - $120,000 a year"
Data Scientist,+2 locationsRemote,Bally's Interactive,$31 - $36 an hour
Data Scientist,Remote,Meridian Technologies,"$55,000 a year"
Data Scientist,Remote,workcog,$50 - $70 an hour
"Data Scientist, Personalization","New York, NY+7 locations•Remote",Spotify,"$125,000 - $145,000 a year"
Data Scientist (Remote),Remote,Yelp,"Up to $112,700 a year"
Data Scientist,+1 locationRemote,National General Insurance,$31 - $79 an hour
Data Scientist,"Johnston, IA 50131•Remote","Growers Edge Financial, Inc.","$302,700 - $455,100 a year"
Data Scientist,"Juno Beach, FL 33408+1 location",NextEra Energy,"$70,527 - $164,574 a year"
Entry Level Data Scientist: 2022,"Research Triangle Park, NC 27709+2 locations",IBM,"$63,919 - $240,750 a year"
Data Scientist,"Orlando, FL+1 location","E-Logic, Inc.","$85,000 - $100,000 a year"
Data Scientist,Remote,Inclusive Links,$40 - $45 an hour
"Data Scientist, Marketing Analytics",+1 locationRemote,Tinder,"$90,000 - $105,000 a year"
Staff Data Scientist (Remote),New York State+13 locations•Remote,Quora,"$6,299 - $12,161 a month"
Data Scientist/Analytics Entry Level Full Time Positions,"Columbus, IN•Remote",Cummins Inc.,$20 - $53 an hour
Entry Level Data Scientist: 2022,"Research Triangle Park, NC 27709",IBM,"$125,000 - $145,000 a year"
Entry-Level Geochemist/Data Scientist,Remote,"Life Cycle Geo, LLC","Up to $112,700 a year"
Data Scientist - Entry Level,"Sacramento, CA•Remote",Numerdox,"$63,919 - $240,750 a year"
Data Scientist - Entry Level,United States•Remote,DonorSearch,$20 - $53 an hour
Entry Level Data Scientist,"Hazelwood, MO",BOEING,"$90,000 - $120,000 a year"
Entry Level - Associate Data Scientist (Federal),"Washington, DC 20001 (Swampoodle area)",IBM,$18 - $100 an hour
Entry Level - Associate Data Scientist (Commercial),"New York, NY 10001 (Chelsea area)",IBM,$40 - $80 an hour
